subtype_id,index,core_id,core_name,mode_id,mode_name,name,title,tagline,description,mode_light,mode_shadow,integration_keys,best_with,watch_out_for
ARCH-BUI,1,ARCH,Architect,BUI,Builder,System Builder,Architect — System Builder,Makes it real,"Architect — System Builder is the Architect core expressed through the Builder execution mode. At its best, it builds durable frameworks that outlast moods and builds infrastructure. In shadow, it trends toward rigidity, control, confusing structure with truth plus the builder failure pattern of workaholic control. Integration: trade certainty for iteration; keep systems human; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,trade certainty for iteration; keep systems human | add vision checkpoints so you don't build the wrong cathedral,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ARCH-VIS,2,ARCH,Architect,VIS,Visionary,Visionary Planner,Architect — Visionary Planner,Sees the next shape,"Architect — Visionary Planner is the Architect core expressed through the Visionary execution mode. At its best, it builds durable frameworks that outlast moods and sees the next shape. In shadow, it trends toward rigidity, control, confusing structure with truth plus the visionary failure pattern of stays in the head. Integration: trade certainty for iteration; keep systems human; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,trade certainty for iteration; keep systems human | ship in small iterations; let feedback refine the prophecy,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ARCH-REG,3,ARCH,Architect,REG,Regulator,Structural Regulator,Architect — Structural Regulator,Holds the line,"Architect — Structural Regulator is the Architect core expressed through the Regulator execution mode. At its best, it builds durable frameworks that outlast moods and holds boundaries. In shadow, it trends toward rigidity, control, confusing structure with truth plus the regulator failure pattern of rigidity/moralizing. Integration: trade certainty for iteration; keep systems human; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,trade certainty for iteration; keep systems human | pair boundaries with purpose; allow transformation on your terms,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ARCH-TRN,4,ARCH,Architect,TRN,Transformer,Adaptive Designer,Architect — Adaptive Designer,Changes the state,"Architect — Adaptive Designer is the Architect core expressed through the Transformer execution mode. At its best, it builds durable frameworks that outlast moods and reinvents under pressure. In shadow, it trends toward rigidity, control, confusing structure with truth plus the transformer failure pattern of volatility. Integration: trade certainty for iteration; keep systems human; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,trade certainty for iteration; keep systems human | build containers for intensity; transform without detonating your life,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-BUI,5,CATA,Catalyst,BUI,Builder,Disruptive Igniter,Catalyst — Disruptive Igniter,Makes it real,"Catalyst — Disruptive Igniter is the Catalyst core expressed through the Builder execution mode. At its best, it forces evolution when stagnation becomes lethal and builds infrastructure. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the builder failure pattern of workaholic control. Integration: aim the fire; use containers; recover on purpose; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,aim the fire; use containers; recover on purpose | add vision checkpoints so you don't build the wrong cathedral,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-VIS,6,CATA,Catalyst,VIS,Visionary,Chaos Prophet,Catalyst — Chaos Prophet,Sees the next shape,"Catalyst — Chaos Prophet is the Catalyst core expressed through the Visionary execution mode. At its best, it forces evolution when stagnation becomes lethal and sees the next shape. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the visionary failure pattern of stays in the head. Integration: aim the fire; use containers; recover on purpose; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,aim the fire; use containers; recover on purpose | ship in small iterations; let feedback refine the prophecy,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-REG,7,CATA,Catalyst,REG,Regulator,Boundary Breaker,Catalyst — Boundary Breaker,Holds the line,"Catalyst — Boundary Breaker is the Catalyst core expressed through the Regulator execution mode. At its best, it forces evolution when stagnation becomes lethal and holds boundaries. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the regulator failure pattern of rigidity/moralizing. Integration: aim the fire; use containers; recover on purpose; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,aim the fire; use containers; recover on purpose | pair boundaries with purpose; allow transformation on your terms,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-TRN,8,CATA,Catalyst,TRN,Transformer,Transmutation Spark,Catalyst — Transmutation Spark,Changes the state,"Catalyst — Transmutation Spark is the Catalyst core expressed through the Transformer execution mode. At its best, it forces evolution when stagnation becomes lethal and reinvents under pressure. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the transformer failure pattern of volatility. Integration: aim the fire; use containers; recover on purpose; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,aim the fire; use containers; recover on purpose | build containers for intensity; transform without detonating your life,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-BUI,9,SEER,Seer,BUI,Builder,Pattern Oracle,Seer — Pattern Oracle,Makes it real,"Seer — Pattern Oracle is the Seer core expressed through the Builder execution mode. At its best, it sees patterns early and reads what others miss and builds infrastructure. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the builder failure pattern of workaholic control. Integration: translate insight into action; ground the signal; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,translate insight into action; ground the signal | add vision checkpoints so you don't build the wrong cathedral,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-VIS,10,SEER,Seer,VIS,Visionary,Strategic Forecaster,Seer — Strategic Forecaster,Sees the next shape,"Seer — Strategic Forecaster is the Seer core expressed through the Visionary execution mode. At its best, it sees patterns early and reads what others miss and sees the next shape. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the visionary failure pattern of stays in the head. Integration: translate insight into action; ground the signal; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,translate insight into action; ground the signal | ship in small iterations; let feedback refine the prophecy,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-REG,11,SEER,Seer,REG,Regulator,Threshold Watcher,Seer — Threshold Watcher,Holds the line,"Seer — Threshold Watcher is the Seer core expressed through the Regulator execution mode. At its best, it sees patterns early and reads what others miss and holds boundaries. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the regulator failure pattern of rigidity/moralizing. Integration: translate insight into action; ground the signal; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,translate insight into action; ground the signal | pair boundaries with purpose; allow transformation on your terms,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-TRN,12,SEER,Seer,TRN,Transformer,Vision Alchemist,Seer — Vision Alchemist,Changes the state,"Seer — Vision Alchemist is the Seer core expressed through the Transformer execution mode. At its best, it sees patterns early and reads what others miss and reinvents under pressure. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the transformer failure pattern of volatility. Integration: translate insight into action; ground the signal; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,translate insight into action; ground the signal | build containers for intensity; transform without detonating your life,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
GUAR-BUI,13,GUAR,Guardian,BUI,Builder,Shield Bearer,Guardian — Shield Bearer,Makes it real,"Guardian — Shield Bearer is the Guardian core expressed through the Builder execution mode. At its best, it creates safety so growth can happen and builds infrastructure. In shadow, it trends toward over-protection, stagnation, fear-based control plus the builder failure pattern of workaholic control. Integration: upgrade boundaries from fear to strategy; allow chosen risk; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,upgrade boundaries from fear to strategy; allow chosen risk | add vision checkpoints so you don't build the wrong cathedral,Seer | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
GUAR-VIS,14,GUAR,Guardian,VIS,Visionary,Moral Sentinel,Guardian — Moral Sentinel,Sees the next shape,"Guardian — Moral Sentinel is the Guardian core expressed through the Visionary execution mode. At its best, it creates safety so growth can happen and sees the next shape. In shadow, it trends toward over-protection, stagnation, fear-based control plus the visionary failure pattern of stays in the head. Integration: upgrade boundaries from fear to strategy; allow chosen risk; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,upgrade boundaries from fear to strategy; allow chosen risk | ship in small iterations; let feedback refine the prophecy,Seer | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
GUAR-REG,15,GUAR,Guardian,REG,Regulator,Boundary Warden,Guardian — Boundary Warden,Holds the line,"Guardian — Boundary Warden is the Guardian core expressed through the Regulator execution mode. At its best, it creates safety so growth can happen and holds boundaries. In shadow, it trends toward over-protection, stagnation, fear-based control plus the regulator failure pattern of rigidity/moralizing. Integration: upgrade boundaries from fear to strategy; allow chosen risk; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,upgrade boundaries from fear to strategy; allow chosen risk | pair boundaries with purpose; allow transformation on your terms,Seer | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
GUAR-TRN,16,GUAR,Guardian,TRN,Transformer,Healing Protector,Guardian — Healing Protector,Changes the state,"Guardian — Healing Protector is the Guardian core expressed through the Transformer execution mode. At its best, it creates safety so growth can happen and reinvents under pressure. In shadow, it trends toward over-protection, stagnation, fear-based control plus the transformer failure pattern of volatility. Integration: upgrade boundaries from fear to strategy; allow chosen risk; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,upgrade boundaries from fear to strategy; allow chosen risk | build containers for intensity; transform without detonating your life,Seer | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SOVE-BUI,17,SOVE,Sovereign,BUI,Builder,Empire Builder,Sovereign — Empire Builder,Makes it real,"Sovereign — Empire Builder is the Sovereign core expressed through the Builder execution mode. At its best, it creates coherence through decision and responsibility and builds infrastructure. In shadow, it trends toward ego rule, tyranny, blind certainty plus the builder failure pattern of workaholic control. Integration: lead with inner law + feedback loops; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,lead with inner law + feedback loops | add vision checkpoints so you don't build the wrong cathedral,Alchemist | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SOVE-VIS,18,SOVE,Sovereign,VIS,Visionary,Visionary Leader,Sovereign — Visionary Leader,Sees the next shape,"Sovereign — Visionary Leader is the Sovereign core expressed through the Visionary execution mode. At its best, it creates coherence through decision and responsibility and sees the next shape. In shadow, it trends toward ego rule, tyranny, blind certainty plus the visionary failure pattern of stays in the head. Integration: lead with inner law + feedback loops; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,lead with inner law + feedback loops | ship in small iterations; let feedback refine the prophecy,Alchemist | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SOVE-REG,19,SOVE,Sovereign,REG,Regulator,Lawful Regulator,Sovereign — Lawful Regulator,Holds the line,"Sovereign — Lawful Regulator is the Sovereign core expressed through the Regulator execution mode. At its best, it creates coherence through decision and responsibility and holds boundaries. In shadow, it trends toward ego rule, tyranny, blind certainty plus the regulator failure pattern of rigidity/moralizing. Integration: lead with inner law + feedback loops; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,lead with inner law + feedback loops | pair boundaries with purpose; allow transformation on your terms,Alchemist | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SOVE-TRN,20,SOVE,Sovereign,TRN,Transformer,Transformational Ruler,Sovereign — Transformational Ruler,Changes the state,"Sovereign — Transformational Ruler is the Sovereign core expressed through the Transformer execution mode. At its best, it creates coherence through decision and responsibility and reinvents under pressure. In shadow, it trends toward ego rule, tyranny, blind certainty plus the transformer failure pattern of volatility. Integration: lead with inner law + feedback loops; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,lead with inner law + feedback loops | build containers for intensity; transform without detonating your life,Alchemist | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ALCH-BUI,21,ALCH,Alchemist,BUI,Builder,Soul Smith,Alchemist — Soul Smith,Makes it real,"Alchemist — Soul Smith is the Alchemist core expressed through the Builder execution mode. At its best, it turns pain into medicine and chaos into meaning and builds infrastructure. In shadow, it trends toward martyr loops, crisis addiction, emotional corrosion plus the builder failure pattern of workaholic control. Integration: stabilize before transmuting; protect your nervous system; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,stabilize before transmuting; protect your nervous system | add vision checkpoints so you don't build the wrong cathedral,Sovereign | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ALCH-VIS,22,ALCH,Alchemist,VIS,Visionary,Shadow Sage,Alchemist — Shadow Sage,Sees the next shape,"Alchemist — Shadow Sage is the Alchemist core expressed through the Visionary execution mode. At its best, it turns pain into medicine and chaos into meaning and sees the next shape. In shadow, it trends toward martyr loops, crisis addiction, emotional corrosion plus the visionary failure pattern of stays in the head. Integration: stabilize before transmuting; protect your nervous system; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,stabilize before transmuting; protect your nervous system | ship in small iterations; let feedback refine the prophecy,Sovereign | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ALCH-REG,23,ALCH,Alchemist,REG,Regulator,Stabilizing Healer,Alchemist — Stabilizing Healer,Holds the line,"Alchemist — Stabilizing Healer is the Alchemist core expressed through the Regulator execution mode. At its best, it turns pain into medicine and chaos into meaning and holds boundaries. In shadow, it trends toward martyr loops, crisis addiction, emotional corrosion plus the regulator failure pattern of rigidity/moralizing. Integration: stabilize before transmuting; protect your nervous system; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,stabilize before transmuting; protect your nervous system | pair boundaries with purpose; allow transformation on your terms,Sovereign | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ALCH-TRN,24,ALCH,Alchemist,TRN,Transformer,Phoenix Catalyst,Alchemist — Phoenix Catalyst,Changes the state,"Alchemist — Phoenix Catalyst is the Alchemist core expressed through the Transformer execution mode. At its best, it turns pain into medicine and chaos into meaning and reinvents under pressure. In shadow, it trends toward martyr loops, crisis addiction, emotional corrosion plus the transformer failure pattern of volatility. Integration: stabilize before transmuting; protect your nervous system; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,stabilize before transmuting; protect your nervous system | build containers for intensity; transform without detonating your life,Sovereign | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
EXPL-BUI,25,EXPL,Explorer,BUI,Builder,Pathfinder,Explorer — Pathfinder,Makes it real,"Explorer — Pathfinder is the Explorer core expressed through the Builder execution mode. At its best, it opens new territory and prevents stagnation and builds infrastructure. In shadow, it trends toward restlessness, escapism, unfinished arcs plus the builder failure pattern of workaholic control. Integration: anchor novelty into commitments; integrate discoveries; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,anchor novelty into commitments; integrate discoveries | add vision checkpoints so you don't build the wrong cathedral,Weaver | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
EXPL-VIS,26,EXPL,Explorer,VIS,Visionary,Concept Pioneer,Explorer — Concept Pioneer,Sees the next shape,"Explorer — Concept Pioneer is the Explorer core expressed through the Visionary execution mode. At its best, it opens new territory and prevents stagnation and sees the next shape. In shadow, it trends toward restlessness, escapism, unfinished arcs plus the visionary failure pattern of stays in the head. Integration: anchor novelty into commitments; integrate discoveries; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,anchor novelty into commitments; integrate discoveries | ship in small iterations; let feedback refine the prophecy,Weaver | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
EXPL-REG,27,EXPL,Explorer,REG,Regulator,Boundary Scout,Explorer — Boundary Scout,Holds the line,"Explorer — Boundary Scout is the Explorer core expressed through the Regulator execution mode. At its best, it opens new territory and prevents stagnation and holds boundaries. In shadow, it trends toward restlessness, escapism, unfinished arcs plus the regulator failure pattern of rigidity/moralizing. Integration: anchor novelty into commitments; integrate discoveries; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,anchor novelty into commitments; integrate discoveries | pair boundaries with purpose; allow transformation on your terms,Weaver | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
EXPL-TRN,28,EXPL,Explorer,TRN,Transformer,Evolutionary Experimenter,Explorer — Evolutionary Experimenter,Changes the state,"Explorer — Evolutionary Experimenter is the Explorer core expressed through the Transformer execution mode. At its best, it opens new territory and prevents stagnation and reinvents under pressure. In shadow, it trends toward restlessness, escapism, unfinished arcs plus the transformer failure pattern of volatility. Integration: anchor novelty into commitments; integrate discoveries; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,anchor novelty into commitments; integrate discoveries | build containers for intensity; transform without detonating your life,Weaver | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
WEAV-BUI,29,WEAV,Weaver,BUI,Builder,Network Architect,Weaver — Network Architect,Makes it real,"Weaver — Network Architect is the Weaver core expressed through the Builder execution mode. At its best, it binds people and ideas into working networks and builds infrastructure. In shadow, it trends toward enmeshment, people-pleasing, identity diffusion plus the builder failure pattern of workaholic control. Integration: tell the truth cleanly; boundaries make connection real; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,tell the truth cleanly; boundaries make connection real | add vision checkpoints so you don't build the wrong cathedral,Explorer | Guardian,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
WEAV-VIS,30,WEAV,Weaver,VIS,Visionary,Cultural Visionary,Weaver — Cultural Visionary,Sees the next shape,"Weaver — Cultural Visionary is the Weaver core expressed through the Visionary execution mode. At its best, it binds people and ideas into working networks and sees the next shape. In shadow, it trends toward enmeshment, people-pleasing, identity diffusion plus the visionary failure pattern of stays in the head. Integration: tell the truth cleanly; boundaries make connection real; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,tell the truth cleanly; boundaries make connection real | ship in small iterations; let feedback refine the prophecy,Explorer | Guardian,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
WEAV-REG,31,WEAV,Weaver,REG,Regulator,Social Regulator,Weaver — Social Regulator,Holds the line,"Weaver — Social Regulator is the Weaver core expressed through the Regulator execution mode. At its best, it binds people and ideas into working networks and holds boundaries. In shadow, it trends toward enmeshment, people-pleasing, identity diffusion plus the regulator failure pattern of rigidity/moralizing. Integration: tell the truth cleanly; boundaries make connection real; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,tell the truth cleanly; boundaries make connection real | pair boundaries with purpose; allow transformation on your terms,Explorer | Guardian,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
WEAV-TRN,32,WEAV,Weaver,TRN,Transformer,Meaning Alchemist,Weaver — Meaning Alchemist,Changes the state,"Weaver — Meaning Alchemist is the Weaver core expressed through the Transformer execution mode. At its best, it binds people and ideas into working networks and reinvents under pressure. In shadow, it trends toward enmeshment, people-pleasing, identity diffusion plus the transformer failure pattern of volatility. Integration: tell the truth cleanly; boundaries make connection real; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,tell the truth cleanly; boundaries make connection real | build containers for intensity; transform without detonating your life,Explorer | Guardian,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
